comment_id,comment_text,like_count,reply_count,emojis
UgzQTQItIuuekgx_vuJ4AaABAg,🖤,0,0,🖤
UgwPZhPDRfmwjMlUI4B4AaABAg,Bu mahnini dinledikce Atamin ayriligi gözûmûn önûnden getmir 😢😢😢 Seni mende almayaydi o son vida o son görûş😢😢😢🥀🥀🥀🥀🥀💔💔💔,0,0,😢😢😢😢😢😢🥀🥀🥀🥀🥀💔💔💔
UgyOoG5vI3Z19PLZxJd4AaABAg,Çox gözəl əsərdir. Necə gözəl istedad özü- özünü batırdı. Son dövrlərin ən istedadlı bəstəkarı idi. Heyif. Səd heyif.,0,0,
UgxaxJgFiFSnap4tNEZ4AaABAg,🥀,0,0,🥀
UgwIs5CZV0ctHredytp4AaABAg,Cane can,0,0,
UgxHLI1564U8Sjamwlx4AaABAg,İlk 7 saniyə sayqı duruşu üçün qoyulub❤,1,0,❤
UgzlOTjKaLM_MTBDgvp4AaABAg,"Şəhid qardaşımla olan son görüş, kaş bu görüş olmayaydı….",1,0,
Ugzm82VJWziPPuaq5rl4AaABAg,3:37 🎉,1,0,🎉
Ugyxa2DaIE5PsiAUuA54AaABAg,Yaşasınn elza,1,0,
Ugx5ME1PaRlKHN9QaqZ4AaABAg,Sağ ol,0,0,
UgxtknvyO94Ibv9ICcx4AaABAg,"Bu mahnı yeni çıxanda bunu yüzlerce kere dinləyib açılmamasi üçün yalvardıgim o qədər sabahlar olduki.... Ama geldi o sabahlar... İtirdim, yıxıldım, öldüm, dirildim... Şükürler olsunki yaşadım",1,0,
Ugy9B_usllOLJC7h8x54AaABAg,2026 dinləyən tayfa❤,51,3,❤
UgzXXHyI_gN7ZSpA4lF4AaABAg,"Kolxozlar qojmadilar bu irəli getsin.amma jenədə buna çatmazlar.Vaxtijken biz görmüşük Elza necə təbii ğozəl,silikonsuz, səhnə mədənijjeti,istedadını, sonrasıda çox çox sıxdılar onu ki,sən keç kolxozlar gelur",0,0,
UgzE0ufbAZgJVGfXdh54AaABAg,❤,1,0,❤
Ugwg6WB3IRGKffD6_Ex4AaABAg,2026 dinləyən var?,8,0,
